优惠类型,商品编号,首次观测,商品名称,适用性别,季节,初上市价,当前最低价,当前最高价,优惠幅度,优惠开始,优惠结束,有货,商品链接
超值精选,492197,2026-09-14,UT YOASOBI印花T恤/短袖T恤,男装,2026年夏季,99,39,39,60.6%,2026-07-30 08:00,2026-08-06 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073826
超值精选,492198,2026-09-14,UT YOASOBI印花T恤/短袖T恤,男装,2026年夏季,99,39,39,60.6%,2026-07-30 08:00,2026-08-06 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073847
超值精选,482302,2026-09-14,AIRism POLO衫/短袖,男装,2026年夏季,149,59,59,60.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074797
超值精选,482302,2026-09-14,AIRism POLO衫/短袖,男装,2026年夏季,149,59,59,60.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073299
超值精选,482303,2026-09-14,AIRism POLO开衫/短袖,男装,2026年夏季,149,59,59,60.4%,2026-04-24 08:00,2026-04-29 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069777
超值精选,482304,2026-09-14,快干POLO衫/短袖,男装,2026年夏季,149,59,59,60.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073737
超值精选,482305,2026-09-14,DRY-EX速干POLO衫/短袖,男装,2026年夏季,149,59,59,60.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073739
超值精选,487898,2026-09-14,SUPIMA COTTON T恤/短袖,男装,2026年夏季,149,59,59,60.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073201
超值精选,475384,2026-09-14,DRY-EX速干高弹力运动长裤束脚超弹裤常规款,男装,2025年夏季,199,79,79,60.3%,2026-06-12 00:00,2026-06-21 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000059633
超值精选,481725,2026-09-14,可机洗针织polo衫/短袖,男装,2026年夏季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074320
超值精选,482446,2026-09-14,牛津纺条纹衬衫/长袖,男装,2026年春季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073097
超值精选,482460,2026-09-14,优质长绒棉条纹衬衫/长袖,男装,2026年春季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073118
超值精选,482461,2026-09-14,优质长绒棉格子衬衫/长袖,男装,2026年春季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074324
超值精选,482464,2026-09-14,优质长绒棉衬衫/长袖,男装,2026年春季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000072132
超值精选,482497,2026-09-14,箱型衬衫/短袖,男装,2026年夏季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000071074
超值精选,482498,2026-09-14,箱型格子衬衫/短袖,男装,2026年夏季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000071080
超值精选,484852,2026-09-14,棉混纺圆领针织衫/长袖,男装,2026年春季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000068877
超值精选,484892,2026-09-14,优质长绒棉格子衬衫/长袖,男装,2026年春季,199,79,79,60.3%,2026-03-20 08:00,2026-03-26 23:29,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000068134
超值精选,484894,2026-09-14,优质长绒棉格子衬衫/长袖,男装,2026年春季,199,79,79,60.3%,2026-03-20 08:00,2026-03-26 23:29,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069768
超值精选,485652,2026-09-14,优质长绒棉格子衬衫/长袖,男装,2026年春季,199,79,79,60.3%,2026-03-20 08:00,2026-03-26 23:29,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000068116
超值精选,485744,2026-09-14,高弹力运动长裤/DRY-EX速干,男装,2026年夏季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074348
超值精选,485745,2026-09-14,高弹力运动长裤/DRY-EX速干加长款,男装,2026年夏季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074357
超值精选,489136,2026-09-14,印花衬衫/短袖,男装,2026年夏季,199,79,79,60.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073219
超值精选,475560,2026-09-14,修身无褶长裤休闲裤裤子直筒通勤,男装,2025年春季,249,99,99,60.2%,2026-03-27 08:00,2026-04-02 23:00,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000067013
超值精选,482876,2026-09-14,修身无褶长裤,男装,2026年春季,249,99,99,60.2%,2026-03-27 08:00,2026-04-02 23:00,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000067334
超值精选,482886,2026-09-14,弹力九分裤/商务通勤西裤裤子,男装,2026年春季,249,99,99,60.2%,2026-03-20 08:00,2026-03-26 23:29,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000068414
超值精选,483819,2026-09-14,休闲全棉茄克/外套夹克,男装,2026年春季,349,149,149,57.3%,2026-02-06 00:00,2026-02-15 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000067693
超值精选,478314,2026-09-15,HEATTECH围巾/围脖防寒保暖易收纳,男装,2025年冬季,129,59,59,54.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000065834
超值精选,484203,2026-09-14,宽松插肩袖T恤/短袖,男装,2026年夏季,129,59,59,54.3%,2026-07-03 08:00,2026-07-09 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069619
超值精选,484203,2026-09-14,宽松插肩袖T恤/短袖,男装,2026年夏季,129,59,59,54.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073976
超值精选,484803,2026-09-14,快干华夫格圆领T恤/短袖,男装,2026年夏季,129,59,59,54.3%,2026-05-29 08:00,2026-06-04 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069778
超值精选,485256,2026-09-14,HEATTECH针织帽子,男装,2025年冬季,129,59,59,54.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000067753
超值精选,485258,2026-09-15,HEATTECH针织手套,男装,2025年冬季,129,59,59,54.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000067735
超值精选,485454,2026-09-14,宽松撞色T恤/短袖,男装,2026年夏季,129,59,59,54.3%,2026-07-03 08:00,2026-07-09 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069629
超值精选,485454,2026-09-14,宽松撞色T恤/短袖,男装,2026年夏季,129,59,59,54.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073958
超值精选,485455,2026-09-14,宽松亨利领T恤/短袖,男装,2026年夏季,129,59,59,54.3%,2026-07-03 08:00,2026-07-09 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069641
超值精选,474529,2026-09-14,棉麻条纹立领衬衫/短袖衬衣开衫休闲,男装,2025年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075883
超值精选,475382,2026-09-14,运动长裤舒适休闲裤卫裤宽松常规款,男装,2025年春季,199,99,99,50.3%,2026-02-27 08:00,2026-03-05 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000058077
超值精选,475387,2026-09-14,防晒衣DRY-EX速干高弹力拉链连帽开衫,男装,2025年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073959
超值精选,475387,2026-09-14,防晒衣DRY-EX速干高弹力拉链连帽开衫,男装,2025年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075899
超值精选,479137,2026-09-14,灯芯绒舒适九分裤/休闲裤,男装,2025年冬季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000064698
超值精选,479235,2026-09-14,souffle yarn舒芙蕾圆领针织衫/长袖舒芙蕾毛衣毛衫,男装,2025年冬季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070513
超值精选,481444,2026-09-14,柔滑摇粒绒舒适束脚裤/长裤裤子,男装,2025年冬季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000065846
超值精选,481569,2026-09-14,弹力棉混纺舒适九分裤/牛仔休闲裤/起居裤,男装,2026年春季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074338
超值精选,481572,2026-09-14,水洗宽松舒适工装九分裤,男装,2026年春季,199,99,99,50.3%,2026-04-24 08:00,2026-04-29 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000068359
